iter	Passed	Remaining
666	4418	2205
667	4421	2197
668	4422	2188
669	4424	2179
670	4425	2170
671	4427	2160
672	4428	2151
673	4430	2142
674	4431	2133
675	4432	2124
676	4433	2115
677	4435	2106
678	4436	2097
679	4437	2088
680	4438	2079
681	4439	2070
682	4442	2061
683	4450	2056
684	4456	2049
685	4458	2040
686	4460	2032
687	4462	2023
688	4464	2015
689	4466	2006
690	4467	1997
691	4469	1989
692	4470	1980
693	4472	1972
694	4474	1963
695	4475	1954
696	4476	1946
697	4477	1937
698	4478	1928
699	4480	1920
700	4481	1911
701	4482	1902
702	4483	1894
703	4484	1885
704	4485	1876
705	4486	1868
706	4487	1859
707	4488	1851
708	4489	1842
709	4492	1834
710	4498	1828
711	4522	1829
712	4523	1820
713	4524	1812
714	4525	1804
715	4527	1795
716	4528	1787
717	4529	1778
718	4530	1770
719	4531	1762
720	4532	1753
721	4533	1745
722	4534	1737
723	4535	1728
724	4536	1720
725	4537	1712
726	4541	1705
727	4549	1699
728	4556	1693
729	4559	1686
730	4561	1678
731	4563	1670
732	4564	1662
733	4566	1654
734	4567	1646
735	4569	1639
736	4570	1631
737	4572	1623
738	4573	1615
739	4574	1607
740	4575	1599
741	4577	1591
742	4578	1583
743	4579	1575
744	4580	1567
745	4581	1560
746	4582	1552
747	4583	1544
748	4584	1536
749	4585	1528
750	4586	1520
751	4587	1513
752	4588	1505
753	4589	1497
754	4590	1489
755	4591	1481
756	4592	1474
757	4593	1466
758	4594	1458
759	4595	1451
760	4596	1443
761	4596	1435
762	4597	1428
763	4598	1420
764	4599	1413
765	4600	1405
766	4601	1397
767	4602	1390
768	4603	1382
769	4604	1375
770	4605	1367
771	4606	1360
772	4607	1352
773	4608	1345
774	4609	1338
775	4610	1330
776	4611	1323
777	4612	1316
778	4612	1308
779	4613	1301
780	4614	1294
781	4615	1286
782	4616	1279
783	4620	1272
784	4627	1267
785	4632	1261
786	4635	1254
787	4637	1247
788	4639	1240
789	4641	1233
790	4644	1227
791	4645	1220
792	4647	1213
793	4648	1206
794	4650	1199
795	4651	1192
796	4652	1185
797	4654	1178
798	4655	1171
799	4656	1164
800	4657	1157
801	4658	1150
802	4660	1143
803	4661	1136
804	4661	1129
805	4662	1122
806	4664	1115
807	4665	1108
808	4666	1101
809	4667	1094
810	4668	1087
811	4674	1082
812	4681	1076
813	4684	1070
814	4686	1063
815	4688	1057
816	4690	1050
817	4692	1043
818	4693	1037
819	4695	1030
820	4696	1023
821	4698	1017
822	4699	1010
823	4701	1004
824	4702	997
825	4703	990
826	4704	984
827	4705	977
828	4707	970
829	4708	964
830	4709	957
831	4710	951
832	4711	944
833	4712	937
834	4713	931
835	4714	924
836	4715	918
837	4716	911
838	4720	905
839	4726	900
840	4732	894
841	4735	888
842	4737	882
843	4739	876
844	4741	869
845	4742	863
846	4744	857
847	4745	850
848	4747	844
849	4748	838
850	4750	831
851	4751	825
852	4752	819
853	4753	812
854	4754	806
855	4756	800
856	4757	793
857	4758	787
858	4759	781
859	4760	774
860	4761	768
861	4762	762
862	4763	756
863	4764	749
864	4770	744
865	4777	739
866	4782	733
867	4784	727
868	4786	721
869	4788	715
870	4790	709
871	4791	703
872	4793	697
873	4794	691
874	4796	685
875	4798	679
876	4799	673
877	4800	667
878	4801	660
879	4802	654
880	4804	648
881	4805	642
882	4806	636
883	4807	630
884	4808	624
885	4809	618
886	4810	612
887	4811	606
888	4812	600
889	4813	594
890	4816	589
891	4823	583
892	4829	578
893	4832	572
894	4834	567
895	4836	561
896	4838	555
897	4839	549
898	4841	543
899	4842	538
900	4844	532
901	4845	526
902	4847	520
903	4848	514
904	4849	509
905	4850	503
906	4852	497
907	4853	491
908	4854	485
909	4855	480
910	4856	474
911	4857	468
912	4858	462
913	4859	457
914	4860	451
915	4861	445
916	4862	440
917	4866	434
918	4872	429
919	4878	424
920	4880	418
921	4882	413
922	4884	407
923	4885	401
924	4887	396
925	4888	390
926	4890	385
927	4891	379
928	4893	373
929	4894	368
930	4895	362
931	4896	357
932	4898	351
933	4899	346
934	4900	340
935	4901	335
936	4902	329
937	4903	324
938	4904	318
939	4905	313
940	4906	307
941	4907	302
942	4909	296
943	4910	291
944	4910	285
945	4917	280
946	4924	275
947	4927	270
948	4929	264
949	4931	259
950	4933	254
951	4935	248
952	4936	243
953	4938	238
954	4939	232
955	4941	227
956	4942	222
957	4943	216
958	4945	211
959	4946	206
960	4947	200
961	4948	195
962	4949	190
963	4950	184
964	4951	179
965	4952	174
966	4953	169
967	4954	163
968	4955	158
969	4956	153
970	4957	148
971	4958	142
972	4959	137
973	4965	132
974	4972	127
975	4977	122
976	4979	117
977	4982	112
978	4984	106
979	4986	101
980	4988	96
981	4990	91
982	4991	86
983	4992	81
984	4994	76
985	4995	70
986	4996	65
987	4997	60
988	4999	55
989	5000	50
990	5001	45
991	5002	40
992	5003	35
993	5004	30
994	5005	25
995	5006	20
996	5007	15
997	5008	10
998	5009	5
999	5012	0
